name,place,population,x,y
#Egmond-Binnen,village,1000.0,105500,512389
#Gelderswoude,village,1000.0,96161,456057
#Graft,village,1000.0,117357,508339
#Groenekan,village,1000.0,138848,459501
#Grootebroek,village,1000.0,144102,523347
#Grootschermer,village,1000.0,118585,510711
#Hazerswoude-Rijndijk,village,1000.0,100562,460172
#Hensbroek,village,1000.0,120994,519124
#Hoogkarspel,village,1000.0,140761,523021
#Hoogmade,village,1000.0,100022,464872
#Huis ter Heide,village,1000.0,146237,458438
#Jisp,village,1000.0,118505,502359
#Koedijk,village,1000.0,112254,520493
#Koudekerk aan den Rijn,village,1000.0,100473,460717
#Lage Vuursche,village,1000.0,143724,465697
#Loenen aan de Vecht,village,1000.0,130008,469144
#Lutjebroek,village,1000.0,142839,523461
#Maartensdijk,village,1000.0,140338,463383
#Middelie,village,1000.0,129695,505669
#Muiden,village,1000.0,133174,482555
#Muiderberg,village,1000.0,136931,482018
#Nederhorst den Berg,village,1000.0,131637,475139
#Nieuwersluis,village,1000.0,129058,467685
#Nigtevecht,village,1000.0,130543,476428
#Noordbeemster,village,1000.0,124194,510316
#Noorddorp,village,1000.0,104909,504237
#Noordeinde,village,1000.0,117611,509511
#Obdam,village,1000.0,122620,521074
#Oost-Graftdijk,village,1000.0,116467,506431
#Oosthuizen,village,1000.0,128306,509142
#Oterleek,village,1000.0,117583,516716
#Oud-Ade,village,1000.0,98851,467352
#Oud-Zuilen,village,1000.0,133254,460044
#Oude Wetering,village,1000.0,104311,469916
#Oudendijk,village,1000.0,126465,512736
Roelofarendsveen,village,1000.0,103339,468551
#Schardam,village,1000.0,129944,512143
#Schellinkhout,village,1000.0,137056,516351
#Schermerhorn,village,1000.0,121253,512732
#Sint Pancras,village,1000.0,113897,518487
#Spanbroek,village,1000.0,126203,523467
#Spijkerboor,village,1000.0,117433,505782
#Tienhoven,village,1000.0,134112,464491
#Vreeland,village,1000.0,130746,471419
#West-Graftdijk,village,1000.0,114902,507575
#West-Knollendam,village,1000.0,113944,503539
#Westbroek,village,1000.0,137131,462522
#Wijdewormer,village,1000.0,121393,501507
#Wognum,village,1000.0,130488,521579
#Zevenhoven,village,1000.0,113441,465996
#Zwammerdam,village,1000.0,109863,457715
#Beinsdorp,village,970.0,100942,477917
#Rijpwetering,village,913.0,99934,467574
