d_lt	d_runway	d_myear	d_den	d_period	total
L	06	1979	D	S	9795.00000000
L	06	1979	E	L	4725.00000000
L	06	1979	E	N	1087.00000000
L	06	1979	E	O	2879.00000000
L	06	1979	E	S	4834.00000000
L	06	1979	N	N	5156.00000000
L	06	1979	N	O	1880.00000000
L	06	1980	D	D	2032.00000000
L	06	1980	D	L	17382.00000000
L	06	1980	D	O	4058.00000000
L	06	1980	D	S	11931.00000000
L	06	1980	E	L	5130.00000000
L	06	1980	E	N	1069.00000000
L	06	1980	E	O	3010.00000000
L	06	1980	E	S	4703.00000000
L	06	1980	N	N	5959.00000000
L	06	1980	N	O	2106.00000000
L	06	1981	D	D	1748.00000000
L	06	1981	D	L	15437.00000000
L	06	1981	D	O	3901.00000000
L	06	1981	D	S	10864.00000000
L	06	1981	E	L	4903.00000000
L	06	1981	E	N	1122.00000000
L	06	1981	E	O	3098.00000000
L	06	1981	E	S	4609.00000000
L	06	1981	N	N	5592.00000000
L	06	1981	N	O	2151.00000000
L	06	1982	D	D	1668.00000000
L	06	1982	D	L	15088.00000000
L	06	1982	D	O	3341.00000000
L	06	1982	D	S	10180.00000000
L	06	1982	E	L	4301.00000000
L	06	1982	E	N	996.00000000
L	06	1982	E	O	3034.00000000
L	06	1982	E	S	4397.00000000
L	06	1982	N	N	5394.00000000
L	06	1982	N	O	1973.00000000
L	06	1983	D	D	1735.00000000
L	06	1983	D	L	16191.00000000
L	06	1983	D	O	3467.00000000
L	06	1983	D	S	10105.00000000
L	06	1983	E	L	4435.00000000
L	06	1983	E	N	1108.00000000
L	06	1983	E	O	3065.00000000
L	06	1983	E	S	4727.00000000
L	06	1983	N	N	5126.00000000
L	06	1983	N	O	2009.00000000
L	06	1984	D	D	2015.00000000
L	06	1984	D	L	16944.00000000
L	06	1984	D	O	4247.00000000
L	06	1984	D	S	12527.00000000
L	06	1984	E	L	5132.00000000
L	06	1984	E	N	1147.00000000
L	06	1984	E	O	3479.00000000
L	06	1984	E	S	5350.00000000
L	06	1984	N	N	6086.00000000
L	06	1984	N	O	2232.00000000
L	06	1985	D	D	1631.00000000
L	06	1985	D	L	13888.00000000
L	06	1985	D	O	3971.00000000
L	06	1985	D	S	9814.00000000
L	06	1985	E	L	4547.00000000
L	06	1985	E	N	903.00000000
L	06	1985	E	O	2476.00000000
L	06	1985	E	S	4287.00000000
L	06	1985	N	N	4583.00000000
L	06	1985	N	O	1558.00000000
L	06	1986	D	D	2002.00000000
L	06	1986	D	L	17360.00000000
L	06	1986	D	O	4238.00000000
L	06	1986	D	S	12128.00000000
L	06	1986	E	L	5314.00000000
L	06	1986	E	N	1002.00000000
L	06	1986	E	O	3031.00000000
L	06	1986	E	S	5199.00000000
L	06	1986	N	N	5171.00000000
L	06	1986	N	O	1991.00000000
L	06	1987	D	D	1806.00000000
L	06	1987	D	L	16880.00000000
L	06	1987	D	O	4680.00000000
L	06	1987	D	S	10921.00000000
L	06	1987	E	L	5562.00000000
L	06	1987	E	N	1036.00000000
L	06	1987	E	O	2796.00000000
L	06	1987	E	S	4969.00000000
L	06	1987	N	N	5504.00000000
L	06	1987	N	O	1933.00000000
L	06	1988	D	D	1823.00000000
L	06	1988	D	L	15347.00000000
L	06	1988	D	O	3401.00000000
L	06	1988	D	S	10672.00000000
L	06	1988	E	L	4719.00000000
L	06	1988	E	N	1036.00000000
L	06	1988	E	O	2937.00000000
L	06	1988	E	S	4272.00000000
L	06	1988	N	N	5105.00000000
L	06	1988	N	O	1739.00000000
L	06	1989	D	D	2150.00000000
L	06	1989	D	L	18216.00000000
L	06	1989	D	O	3608.00000000
L	06	1989	D	S	12390.00000000
L	06	1989	E	L	5225.00000000
L	06	1989	E	N	1165.00000000
L	06	1989	E	O	3309.00000000
L	06	1989	E	S	5589.00000000
L	06	1989	N	N	5605.00000000
L	06	1989	N	O	2040.00000000
L	06	1990	D	D	1878.00000000
L	06	1990	D	L	15820.00000000
L	06	1990	D	O	3128.00000000
L	06	1990	D	S	10678.00000000
L	06	1990	E	L	5084.00000000
L	06	1990	E	N	965.00000000
L	06	1990	E	O	3180.00000000
L	06	1990	E	S	4995.00000000
L	06	1990	N	N	5119.00000000
L	06	1990	N	O	2011.00000000
L	06	1991	D	D	2173.00000000
L	06	1991	D	L	17818.00000000
L	06	1991	D	O	3884.00000000
L	06	1991	D	S	11711.00000000
L	06	1991	E	L	5202.00000000
L	06	1991	E	N	1164.00000000
L	06	1991	E	O	3332.00000000
L	06	1991	E	S	5150.00000000
L	06	1991	N	N	5815.00000000
L	06	1991	N	O	2258.00000000
L	06	1992	D	D	1928.00000000
L	06	1992	D	L	15972.00000000
L	06	1992	D	O	3634.00000000
L	06	1992	D	S	10926.00000000
L	06	1992	E	L	4733.00000000
L	06	1992	E	N	965.00000000
L	06	1992	E	O	2755.00000000
L	06	1992	E	S	4361.00000000
L	06	1992	N	N	5025.00000000
L	06	1992	N	O	1884.00000000
L	06	1993	D	D	1892.00000000
L	06	1993	D	L	16639.00000000
L	06	1993	D	O	3747.00000000
L	06	1993	D	S	12120.00000000
L	06	1993	E	L	5026.00000000
L	06	1993	E	N	1205.00000000
L	06	1993	E	O	3537.00000000
L	06	1993	E	S	5115.00000000
L	06	1993	N	N	5537.00000000
L	06	1993	N	O	1923.00000000
L	06	1994	D	D	1608.00000000
L	06	1994	D	L	14344.00000000
L	06	1994	D	O	2910.00000000
L	06	1994	D	S	10024.00000000
L	06	1994	E	L	4419.00000000
L	06	1994	E	N	996.00000000
L	06	1994	E	O	2904.00000000
L	06	1994	E	S	4505.00000000
L	06	1994	N	N	4723.00000000
L	06	1994	N	O	1705.00000000
L	06	1995	D	D	2199.00000000
L	06	1995	D	L	18462.00000000
L	06	1995	D	O	4055.00000000
L	06	1995	D	S	13591.00000000
L	06	1995	E	L	5518.00000000
L	06	1995	E	N	1168.00000000
L	06	1995	E	O	3522.00000000
L	06	1995	E	S	5473.00000000
L	06	1995	N	N	5924.00000000
L	06	1995	N	O	2021.00000000
L	06	1996	D	D	2209.00000000
L	06	1996	D	L	20904.00000000
L	06	1996	D	O	5462.00000000
L	06	1996	D	S	14188.00000000
L	06	1996	E	L	6623.00000000
L	06	1996	E	N	1419.00000000
L	06	1996	E	O	3974.00000000
L	06	1996	E	S	6187.00000000
L	06	1996	N	N	6696.00000000
L	06	1996	N	O	2365.00000000
L	06	1997	D	D	2158.00000000
L	06	1997	D	L	18391.00000000
L	06	1997	D	O	4078.00000000
L	06	1997	D	S	12517.00000000
L	06	1997	E	L	6003.00000000
L	06	1997	E	N	1152.00000000
L	06	1997	E	O	3520.00000000
L	06	1997	E	S	5040.00000000
L	06	1997	N	N	6209.00000000
L	06	1997	N	O	2233.00000000
L	06	1998	D	D	1523.00000000
L	06	1998	D	L	13465.00000000
L	06	1998	D	O	3262.00000000
L	06	1998	D	S	8897.00000000
L	06	1998	E	L	4438.00000000
L	06	1998	E	N	874.00000000
L	06	1998	E	O	2448.00000000
L	06	1998	E	S	4081.00000000
L	06	1998	N	N	4300.00000000
L	06	1998	N	O	1590.00000000
L	06	1999	D	D	1803.00000000
L	06	1999	D	L	17086.00000000
L	06	1999	D	O	3617.00000000
L	06	1999	D	S	10590.00000000
L	06	1999	E	L	4949.00000000
L	06	1999	E	N	1182.00000000
L	06	1999	E	O	3125.00000000
L	06	1999	E	S	5116.00000000
L	06	1999	N	N	5263.00000000
L	06	1999	N	O	2031.00000000
L	06	2000	D	D	1720.00000000
L	06	2000	D	L	13147.00000000
L	06	2000	D	O	2613.00000000
L	06	2000	D	S	8905.00000000
L	06	2000	E	L	3981.00000000
L	06	2000	E	N	965.00000000
L	06	2000	E	O	2726.00000000
L	06	2000	E	S	3843.00000000
L	06	2000	N	N	4899.00000000
L	06	2000	N	O	1753.00000000
L	06	2001	D	D	2120.00000000
L	06	2001	D	L	17285.00000000
L	06	2001	D	O	4605.00000000
L	06	2001	D	S	11059.00000000
L	06	2001	E	L	5435.00000000
L	06	2001	E	N	1084.00000000
L	06	2001	E	O	3005.00000000
L	06	2001	E	S	4490.00000000
L	06	2001	N	N	5621.00000000
L	06	2001	N	O	1966.00000000
L	06	2002	D	D	2038.00000000
L	06	2002	D	L	17514.00000000
L	06	2002	D	O	3616.00000000
L	06	2002	D	S	11809.00000000
L	06	2002	E	L	4833.00000000
L	06	2002	E	N	1152.00000000
