d_lt	d_den	d_schedule	total
L	N	00:40	14.99999990
L	N	00:45	5.99999996
L	N	00:50	12.99999992
L	N	00:55	11.99999993
L	N	01:00	18.99999987
L	N	01:05	14.99999990
L	N	01:10	20.99999986
L	N	01:15	26.99999982
L	N	01:20	27.99999981
L	N	01:25	9.99999994
L	N	01:30	10.99999993
L	N	01:35	17.99999988
L	N	01:40	5.99999996
L	N	01:45	6.99999995
L	N	01:50	14.99999990
L	N	01:55	8.99999994
L	N	02:00	11.99999992
L	N	02:05	5.99999996
L	N	02:10	13.99999991
L	N	02:20	20.99999985
L	N	02:25	6.99999995
L	N	02:35	17.99999988
L	N	02:40	26.99999982
L	N	02:45	2.99999998
L	N	02:50	0.99999999
L	N	02:55	0.99999999
L	N	03:15	6.99999996
L	N	03:25	0.99999999
L	N	03:30	11.99999992
L	N	03:35	0.99999999
L	N	04:30	23.99999984
L	N	04:40	23.99999984
L	N	04:50	23.99999985
L	N	05:05	20.99999986
L	N	05:10	83.99999941
L	N	05:30	23.99999985
L	N	05:35	41.99999974
L	N	05:40	23.99999984
L	N	05:45	5.99999996
L	N	05:50	83.99999944
L	N	05:55	48.99999966
L	N	06:00	198.99999862
L	N	06:10	41.99999969
L	N	06:15	30.99999979
L	N	06:20	7.99999994
L	N	06:25	54.99999961
L	N	06:30	35.99999974
L	N	06:35	225.99999842
L	N	06:40	77.99999907
L	N	06:45	5.99999993
L	N	06:50	319.99999631
L	N	06:55	179.99999792
L	N	23:10	62.99999961
L	N	23:15	38.99999977
L	N	23:20	18.99999989
L	N	23:25	11.99999992
L	N	23:30	31.99999980
L	N	23:35	30.99999980
L	N	23:40	11.99999993
L	N	23:45	29.99999981
L	N	23:50	69.99999958
L	N	23:55	26.99999983
T	D	07:00	652.99999440
T	D	07:05	253.99999779
T	D	07:10	110.99999917
T	D	07:15	229.99999802
T	D	07:20	281.99999736
T	D	07:25	60.99999950
T	D	07:30	83.99999922
T	D	07:35	46.99999960
T	D	07:40	68.99999946
T	D	07:45	91.99999927
T	D	07:50	191.99999839
T	D	07:55	50.99999961
T	D	08:00	265.99999769
T	D	08:05	29.99999971
T	D	08:10	48.99999954
T	D	08:15	152.99999880
T	D	08:20	29.99999970
T	D	08:25	203.99999820
T	D	08:30	185.99999858
T	D	08:35	125.99999910
T	D	08:40	113.99999904
T	D	08:45	219.99999814
T	D	08:50	11.99999987
T	D	08:55	147.99999865
T	D	09:00	145.99999880
T	D	09:05	73.99999939
T	D	09:10	112.99999909
T	D	09:15	138.99999884
T	D	09:20	264.99999822
T	D	09:25	231.99999839
T	D	09:30	355.99999731
T	D	09:35	179.99999883
T	D	09:40	422.99999702
T	D	09:45	290.99999804
T	D	09:50	258.99999851
T	D	09:55	76.99999952
T	D	10:00	462.99999700
T	D	10:05	23.99999987
T	D	10:10	182.99999876
T	D	10:15	220.99999859
T	D	10:20	377.99999746
T	D	10:25	150.99999892
T	D	10:30	77.99999957
T	D	10:35	222.99999860
T	D	10:40	54.99999964
T	D	10:45	113.99999911
T	D	10:50	131.99999913
T	D	10:55	206.99999848
T	D	11:00	130.99999898
T	D	11:05	106.99999932
T	D	11:10	78.99999931
T	D	11:15	118.99999903
T	D	11:20	173.99999851
T	D	11:25	130.99999900
T	D	11:30	29.99999978
T	D	11:35	105.99999911
T	D	11:40	198.99999852
T	D	11:45	167.99999880
T	D	11:50	213.99999860
T	D	11:55	139.99999917
T	D	12:00	240.99999838
T	D	12:05	120.99999928
T	D	12:10	294.99999773
T	D	12:15	313.99999788
T	D	12:20	117.99999930
T	D	12:25	249.99999816
T	D	12:30	275.99999805
T	D	12:35	377.99999746
T	D	12:40	171.99999896
T	D	12:45	128.99999923
T	D	12:50	109.99999924
T	D	12:55	158.99999892
T	D	13:00	222.99999861
T	D	13:05	13.99999987
T	D	13:10	129.99999900
T	D	13:15	175.99999855
T	D	13:20	243.99999856
T	D	13:25	59.99999962
T	D	13:30	41.99999964
T	D	13:35	132.99999895
T	D	13:40	194.99999847
T	D	13:45	155.99999882
T	D	13:50	101.99999921
T	D	13:55	27.99999982
T	D	14:00	317.99999804
T	D	14:05	99.99999926
T	D	14:10	104.99999927
T	D	14:15	200.99999870
T	D	14:20	351.99999762
T	D	14:25	314.99999766
T	D	14:30	222.99999838
T	D	14:35	129.99999908
T	D	14:40	299.99999806
T	D	14:45	240.99999847
T	D	14:50	113.99999923
T	D	14:55	282.99999797
T	D	15:00	117.99999918
T	D	15:05	100.99999937
T	D	15:10	162.99999884
T	D	15:15	107.99999927
T	D	15:20	182.99999860
T	D	15:25	91.99999931
T	D	15:30	74.99999941
T	D	15:35	99.99999930
T	D	15:40	22.99999983
T	D	15:45	56.99999955
T	D	15:50	135.99999910
T	D	15:55	66.99999944
T	D	16:00	168.99999882
T	D	16:05	84.99999939
T	D	16:10	92.99999933
T	D	16:15	83.99999935
T	D	16:20	360.99999792
T	D	16:25	158.99999897
T	D	16:30	286.99999793
T	D	16:35	164.99999904
T	D	16:40	281.99999832
T	D	16:45	197.99999857
T	D	16:50	240.99999839
T	D	16:55	242.99999828
T	D	17:00	318.99999812
T	D	17:05	47.99999967
T	D	17:10	95.99999928
T	D	17:15	249.99999844
T	D	17:20	198.99999880
T	D	17:25	77.99999949
T	D	17:30	109.99999916
T	D	17:35	104.99999929
T	D	17:40	151.99999883
T	D	17:45	155.99999858
T	D	17:50	184.99999838
T	D	17:55	65.99999951
T	D	18:00	65.99999941
T	D	18:05	56.99999959
T	D	18:10	17.99999984
T	D	18:15	86.99999934
T	D	18:20	129.99999910
T	D	18:25	77.99999942
T	D	18:30	104.99999918
T	D	18:35	159.99999890
T	D	18:40	83.99999934
T	D	18:45	116.99999911
T	D	18:50	195.99999864
T	D	18:55	136.99999916
T	E	19:00	102.99999919
T	E	19:05	105.99999927
T	E	19:10	59.99999959
T	E	19:15	95.99999929
T	E	19:20	101.99999925
T	E	19:25	122.99999910
T	E	19:30	69.99999945
T	E	19:35	53.99999966
T	E	19:40	11.99999992
T	E	19:45	150.99999877
T	E	19:50	127.99999902
T	E	19:55	27.99999979
T	E	20:00	167.99999882
T	E	20:05	5.99999996
