d_lt	d_runway	d_myear	d_den	d_period	total
L	04	2008	E	O	7.00000000
L	04	2008	N	N	4.00000000
L	04	2008	N	O	1.00000000
L	04	2009	D	O	2.00000000
L	04	2009	E	N	4.00000000
L	04	2009	E	O	4.00000000
L	04	2009	N	N	7.00000000
L	04	2010	D	O	8.00000000
L	04	2010	E	O	6.00000000
L	04	2010	N	N	5.00000000
L	04	2011	D	O	4.00000000
L	04	2011	E	O	7.00000000
L	04	2011	N	N	8.00000000
L	04	2012	D	O	3.00000000
L	04	2012	E	O	5.00000000
L	04	2012	N	N	2.00000000
L	04	2013	D	O	5.00000000
L	04	2013	E	N	2.00000000
L	04	2013	E	O	5.00000000
L	04	2013	N	N	2.00000000
L	04	2013	N	O	1.00000000
L	04	2014	D	O	2.00000000
L	04	2014	E	O	6.00000000
L	04	2014	N	N	6.00000000
L	04	2014	N	O	1.00000000
L	04	2015	D	O	3.00000000
L	04	2015	E	N	1.00000000
L	04	2015	E	O	9.00000000
L	04	2015	N	N	3.00000000
L	04	2015	N	O	1.00000000
L	04	2016	D	O	1.00000000
L	04	2016	E	O	3.00000000
L	04	2016	N	N	2.00000000
L	04	2016	N	O	1.00000000
L	06	1971	D	D	2641.00000000
L	06	1971	D	L	18793.00000000
L	06	1971	D	O	4317.00000000
L	06	1971	D	S	14463.00000000
L	06	1971	E	L	5321.00000000
L	06	1971	E	N	1059.00000000
L	06	1971	E	O	4285.00000000
L	06	1971	E	S	6221.00000000
L	06	1971	N	N	7343.00000000
L	06	1971	N	O	1765.00000000
L	06	1972	D	D	2306.00000000
L	06	1972	D	L	16803.00000000
L	06	1972	D	O	4318.00000000
L	06	1972	D	S	13967.00000000
L	06	1972	E	L	5433.00000000
L	06	1972	E	N	945.00000000
L	06	1972	E	O	3888.00000000
L	06	1972	E	S	5338.00000000
L	06	1972	N	N	7211.00000000
L	06	1972	N	O	1763.00000000
L	06	1973	D	D	2300.00000000
L	06	1973	D	L	15156.00000000
L	06	1973	D	O	3995.00000000
L	06	1973	D	S	12670.00000000
L	06	1973	E	L	4499.00000000
L	06	1973	E	N	1028.00000000
L	06	1973	E	O	4150.00000000
L	06	1973	E	S	6012.00000000
L	06	1973	N	N	6816.00000000
L	06	1973	N	O	1735.00000000
L	06	1974	D	D	2227.00000000
L	06	1974	D	L	14501.00000000
L	06	1974	D	O	3173.00000000
L	06	1974	D	S	12147.00000000
L	06	1974	E	L	3737.00000000
L	06	1974	E	N	782.00000000
L	06	1974	E	O	3227.00000000
L	06	1974	E	S	5041.00000000
L	06	1974	N	N	5883.00000000
L	06	1974	N	O	1490.00000000
L	06	1975	D	D	2618.00000000
L	06	1975	D	L	17294.00000000
L	06	1975	D	O	4600.00000000
L	06	1975	D	S	14381.00000000
L	06	1975	E	L	4976.00000000
L	06	1975	E	N	997.00000000
L	06	1975	E	O	4121.00000000
L	06	1975	E	S	5877.00000000
L	06	1975	N	N	7141.00000000
L	06	1975	N	O	1566.00000000
L	06	1976	D	D	2503.00000000
L	06	1976	D	L	17985.00000000
L	06	1976	D	O	4622.00000000
L	06	1976	D	S	14684.00000000
L	06	1976	E	L	5657.00000000
L	06	1976	E	N	973.00000000
L	06	1976	E	O	4180.00000000
L	06	1976	E	S	6022.00000000
L	06	1976	N	N	7410.00000000
L	06	1976	N	O	1887.00000000
L	06	1977	D	D	2176.00000000
L	06	1977	D	L	15691.00000000
L	06	1977	D	O	3421.00000000
L	06	1977	D	S	12984.00000000
L	06	1977	E	L	4376.00000000
L	06	1977	E	N	952.00000000
L	06	1977	E	O	3762.00000000
L	06	1977	E	S	5620.00000000
L	06	1977	N	N	6554.00000000
L	06	1977	N	O	1786.00000000
L	06	1978	D	D	2075.00000000
L	06	1978	D	L	14892.00000000
L	06	1978	D	O	3385.00000000
L	06	1978	D	S	12133.00000000
L	06	1978	E	L	4329.00000000
L	06	1978	E	N	880.00000000
L	06	1978	E	O	3694.00000000
L	06	1978	E	S	4892.00000000
L	06	1978	N	N	6487.00000000
L	06	1978	N	O	1658.00000000
L	06	1979	D	D	1755.00000000
L	06	1979	D	L	13471.00000000
L	06	1979	D	O	3889.00000000
L	06	1979	D	S	10154.00000000
L	06	1979	E	L	4488.00000000
L	06	1979	E	N	843.00000000
L	06	1979	E	O	3444.00000000
L	06	1979	E	S	5012.00000000
L	06	1979	N	N	6012.00000000
L	06	1979	N	O	1484.00000000
L	06	1980	D	D	2148.00000000
L	06	1980	D	L	15052.00000000
L	06	1980	D	O	4297.00000000
L	06	1980	D	S	12957.00000000
L	06	1980	E	L	4322.00000000
L	06	1980	E	N	913.00000000
L	06	1980	E	O	3878.00000000
L	06	1980	E	S	5740.00000000
L	06	1980	N	N	6702.00000000
L	06	1980	N	O	1570.00000000
L	06	1981	D	D	1945.00000000
L	06	1981	D	L	12745.00000000
L	06	1981	D	O	3863.00000000
L	06	1981	D	S	11584.00000000
L	06	1981	E	L	3876.00000000
L	06	1981	E	N	821.00000000
L	06	1981	E	O	3314.00000000
L	06	1981	E	S	5177.00000000
L	06	1981	N	N	6406.00000000
L	06	1981	N	O	1518.00000000
L	06	1982	D	D	1970.00000000
L	06	1982	D	L	13833.00000000
L	06	1982	D	O	3400.00000000
L	06	1982	D	S	11442.00000000
L	06	1982	E	L	3638.00000000
L	06	1982	E	N	821.00000000
L	06	1982	E	O	3574.00000000
L	06	1982	E	S	4824.00000000
L	06	1982	N	N	6395.00000000
L	06	1982	N	O	1510.00000000
L	06	1983	D	D	1893.00000000
L	06	1983	D	L	13565.00000000
L	06	1983	D	O	3656.00000000
L	06	1983	D	S	10857.00000000
L	06	1983	E	L	3797.00000000
L	06	1983	E	N	827.00000000
L	06	1983	E	O	3462.00000000
L	06	1983	E	S	4815.00000000
L	06	1983	N	N	6045.00000000
L	06	1983	N	O	1421.00000000
L	06	1984	D	D	2142.00000000
L	06	1984	D	L	14267.00000000
L	06	1984	D	O	4375.00000000
L	06	1984	D	S	13410.00000000
L	06	1984	E	L	4176.00000000
L	06	1984	E	N	995.00000000
L	06	1984	E	O	3877.00000000
L	06	1984	E	S	5798.00000000
L	06	1984	N	N	6996.00000000
L	06	1984	N	O	1674.00000000
L	06	1985	D	D	1772.00000000
L	06	1985	D	L	12455.00000000
L	06	1985	D	O	4233.00000000
L	06	1985	D	S	10694.00000000
L	06	1985	E	L	4117.00000000
L	06	1985	E	N	818.00000000
L	06	1985	E	O	3207.00000000
L	06	1985	E	S	4758.00000000
L	06	1985	N	N	5623.00000000
L	06	1985	N	O	1407.00000000
L	06	1986	D	D	2173.00000000
L	06	1986	D	L	15275.00000000
L	06	1986	D	O	4204.00000000
L	06	1986	D	S	12199.00000000
L	06	1986	E	L	4743.00000000
L	06	1986	E	N	897.00000000
L	06	1986	E	O	3404.00000000
L	06	1986	E	S	5059.00000000
L	06	1986	N	N	6016.00000000
L	06	1986	N	O	1461.00000000
L	06	1987	D	D	2027.00000000
L	06	1987	D	L	14555.00000000
L	06	1987	D	O	4879.00000000
L	06	1987	D	S	11362.00000000
L	06	1987	E	L	4622.00000000
L	06	1987	E	N	834.00000000
L	06	1987	E	O	3346.00000000
L	06	1987	E	S	5072.00000000
L	06	1987	N	N	6593.00000000
L	06	1987	N	O	1512.00000000
L	06	1988	D	D	1883.00000000
L	06	1988	D	L	12848.00000000
L	06	1988	D	O	3202.00000000
L	06	1988	D	S	10010.00000000
L	06	1988	E	L	3732.00000000
L	06	1988	E	N	810.00000000
L	06	1988	E	O	3372.00000000
L	06	1988	E	S	4892.00000000
L	06	1988	N	N	5347.00000000
L	06	1988	N	O	1259.00000000
L	06	1989	D	D	2357.00000000
L	06	1989	D	L	15996.00000000
L	06	1989	D	O	3584.00000000
L	06	1989	D	S	12065.00000000
L	06	1989	E	L	4609.00000000
L	06	1989	E	N	995.00000000
L	06	1989	E	O	4210.00000000
L	06	1989	E	S	5951.00000000
L	06	1989	N	N	6843.00000000
L	06	1989	N	O	1607.00000000
L	06	1990	D	D	2098.00000000
L	06	1990	D	L	14078.00000000
L	06	1990	D	O	2767.00000000
L	06	1990	D	S	10416.00000000
L	06	1990	E	L	4214.00000000
L	06	1990	E	N	894.00000000
L	06	1990	E	O	3448.00000000
L	06	1990	E	S	4887.00000000
L	06	1990	N	N	6020.00000000
L	06	1990	N	O	1360.00000000
L	06	1991	D	D	2355.00000000
L	06	1991	D	L	15959.00000000
L	06	1991	D	O	3893.00000000
L	06	1991	D	S	12218.00000000
L	06	1991	E	L	4551.00000000
L	06	1991	E	N	1019.00000000
L	06	1991	E	O	4149.00000000
L	06	1991	E	S	5175.00000000
L	06	1991	N	N	7068.00000000
L	06	1991	N	O	1790.00000000
L	06	1992	D	D	2029.00000000
L	06	1992	D	L	14011.00000000
L	06	1992	D	O	3578.00000000
L	06	1992	D	S	11057.00000000
L	06	1992	E	L	4030.00000000
L	06	1992	E	N	834.00000000
L	06	1992	E	O	3175.00000000
L	06	1992	E	S	4503.00000000
L	06	1992	N	N	5856.00000000
L	06	1992	N	O	1353.00000000
L	06	1993	D	D	2230.00000000
L	06	1993	D	L	15687.00000000
L	06	1993	D	O	3817.00000000
L	06	1993	D	S	12627.00000000
L	06	1993	E	L	4483.00000000
L	06	1993	E	N	938.00000000
L	06	1993	E	O	3661.00000000
L	06	1993	E	S	5445.00000000
L	06	1993	N	N	6262.00000000
L	06	1993	N	O	1380.00000000
L	06	1994	D	D	1962.00000000
L	06	1994	D	L	13296.00000000
L	06	1994	D	O	2949.00000000
L	06	1994	D	S	10279.00000000
L	06	1994	E	L	4084.00000000
L	06	1994	E	N	832.00000000
L	06	1994	E	O	3295.00000000
L	06	1994	E	S	4939.00000000
L	06	1994	N	N	5688.00000000
L	06	1994	N	O	1367.00000000
L	06	1995	D	D	2491.00000000
