d_lt	d_den	d_schedule	total
L	N	00:30	457.99999743
L	N	00:35	41.99999976
L	N	00:40	109.99999939
L	N	00:45	32.99999982
L	N	00:50	68.99999964
L	N	00:55	84.99999952
L	N	01:00	142.99999915
L	N	01:05	124.99999929
L	N	01:10	147.99999915
L	N	01:15	179.99999893
L	N	01:20	174.99999899
L	N	01:25	77.99999954
L	N	01:30	88.99999949
L	N	01:35	90.99999946
L	N	01:40	50.99999971
L	N	01:45	82.99999953
L	N	01:50	112.99999933
L	N	01:55	64.99999963
L	N	02:00	27.99999982
L	N	02:05	53.99999967
L	N	02:10	53.99999966
L	N	02:15	32.99999979
L	N	02:20	120.99999925
L	N	02:25	52.99999967
L	N	02:30	24.99999985
L	N	02:35	93.99999941
L	N	02:40	108.99999931
L	N	02:45	19.99999988
L	N	02:50	1.99999999
L	N	02:55	14.99999990
L	N	03:00	32.99999981
L	N	03:05	17.99999990
L	N	03:15	29.99999981
L	N	03:20	25.99999984
L	N	03:25	3.99999998
L	N	03:30	79.99999953
L	N	03:35	5.99999996
L	N	03:40	11.99999993
L	N	03:45	13.99999991
L	N	03:50	0.99999999
L	N	03:55	3.99999997
L	N	04:05	6.99999995
L	N	04:10	1.99999999
L	N	04:25	5.99999996
L	N	04:30	132.99999910
L	N	04:35	6.99999996
L	N	04:40	123.99999919
L	N	04:45	4.99999997
L	N	04:50	123.99999917
L	N	05:00	9.99999993
L	N	05:05	94.99999939
L	N	05:10	430.99999724
L	N	05:15	0.99999999
L	N	05:25	7.99999995
L	N	05:30	123.99999931
L	N	05:35	215.99999881
L	N	05:40	110.99999930
L	N	05:45	21.99999988
L	N	05:50	430.99999740
L	N	05:55	249.99999849
L	N	06:00	1012.99999396
L	N	06:05	0.99999999
L	N	06:10	208.99999874
L	N	06:15	155.99999916
L	N	06:20	64.99999964
L	N	06:25	296.99999826
L	N	06:30	185.99999895
L	N	06:35	1136.99999349
L	N	06:40	401.99999562
L	N	06:45	32.99999964
L	N	06:50	1603.99998269
L	N	06:55	986.99998951
L	N	23:10	309.99999818
L	N	23:15	194.99999890
L	N	23:20	96.99999947
L	N	23:25	69.99999959
L	N	23:30	146.99999913
L	N	23:35	166.99999905
L	N	23:40	59.99999966
L	N	23:45	143.99999916
L	N	23:50	280.99999842
L	N	23:55	170.99999904
T	D	07:00	3245.99997510
T	D	07:05	1322.99998977
T	D	07:10	494.99999663
T	D	07:15	1240.99999057
T	D	07:20	1508.99998682
T	D	07:25	295.99999767
T	D	07:30	418.99999633
T	D	07:35	172.99999854
T	D	07:40	325.99999764
T	D	07:45	465.99999652
T	D	07:50	897.99999294
T	D	07:55	285.99999795
T	D	08:00	1369.99998921
T	D	08:05	170.99999850
T	D	08:10	270.99999773
T	D	08:15	828.99999413
T	D	08:20	206.99999818
T	D	08:25	1090.99999122
T	D	08:30	869.99999393
T	D	08:35	567.99999633
T	D	08:40	666.99999475
T	D	08:45	1056.99999166
T	D	08:50	21.99999979
T	D	08:55	776.99999374
T	D	09:00	789.99999403
T	D	09:05	303.99999749
T	D	09:10	561.99999586
T	D	09:15	684.99999461
T	D	09:20	1391.99999157
T	D	09:25	1055.99999339
T	D	09:30	1913.99998704
T	D	09:35	982.99999427
T	D	09:40	1778.99998835
T	D	09:45	1578.99999058
T	D	09:50	1406.99999257
T	D	09:55	633.99999668
T	D	10:00	2116.99998757
T	D	10:05	244.99999886
T	D	10:10	923.99999435
T	D	10:15	1262.99999255
T	D	10:20	1930.99998835
T	D	10:25	799.99999482
T	D	10:30	328.99999837
T	D	10:35	1332.99999232
T	D	10:40	255.99999840
T	D	10:45	643.99999566
T	D	10:50	487.99999674
T	D	10:55	1049.99999271
T	D	11:00	600.99999566
T	D	11:05	511.99999700
T	D	11:10	404.99999667
T	D	11:15	661.99999494
T	D	11:20	798.99999357
T	D	11:25	662.99999533
T	D	11:30	164.99999883
T	D	11:35	596.99999540
T	D	11:40	1023.99999299
T	D	11:45	864.99999417
T	D	11:50	1077.99999337
T	D	11:55	840.99999541
T	D	12:00	1245.99999253
T	D	12:05	695.99999623
T	D	12:10	1529.99998928
T	D	12:15	1608.99999027
T	D	12:20	639.99999660
T	D	12:25	1275.99999164
T	D	12:30	1482.99999065
T	D	12:35	1804.99998907
T	D	12:40	816.99999498
T	D	12:45	684.99999594
T	D	12:50	669.99999569
T	D	12:55	803.99999479
T	D	13:00	1187.99999294
T	D	13:05	70.99999946
T	D	13:10	754.99999462
T	D	13:15	768.99999404
T	D	13:20	1270.99999297
T	D	13:25	330.99999802
T	D	13:30	252.99999809
T	D	13:35	664.99999507
T	D	13:40	970.99999274
T	D	13:45	824.99999432
T	D	13:50	462.99999661
T	D	13:55	296.99999817
T	D	14:00	1642.99999077
T	D	14:05	512.99999660
T	D	14:10	645.99999595
T	D	14:15	1021.99999377
T	D	14:20	1698.99998952
T	D	14:25	1650.99998884
T	D	14:30	1258.99999168
T	D	14:35	514.99999672
T	D	14:40	1410.99999157
T	D	14:45	1182.99999309
T	D	14:50	589.99999630
T	D	14:55	1449.99999039
T	D	15:00	711.99999503
T	D	15:05	547.99999659
T	D	15:10	620.99999561
T	D	15:15	725.99999534
T	D	15:20	892.99999391
T	D	15:25	474.99999685
T	D	15:30	419.99999700
T	D	15:35	444.99999712
T	D	15:40	147.99999902
T	D	15:45	415.99999711
T	D	15:50	645.99999615
T	D	15:55	342.99999740
T	D	16:00	867.99999452
T	D	16:05	450.99999703
T	D	16:10	487.99999672
T	D	16:15	413.99999708
T	D	16:20	1883.99998964
T	D	16:25	870.99999467
T	D	16:30	1377.99999068
T	D	16:35	902.99999504
T	D	16:40	1543.99999123
T	D	16:45	978.99999358
T	D	16:50	1199.99999243
T	D	16:55	1269.99999147
T	D	17:00	1615.99999100
T	D	17:05	257.99999842
T	D	17:10	500.99999649
T	D	17:15	1259.99999275
T	D	17:20	992.99999426
T	D	17:25	420.99999739
T	D	17:30	519.99999636
T	D	17:35	532.99999670
T	D	17:40	787.99999458
T	D	17:45	777.99999331
T	D	17:50	955.99999218
T	D	17:55	322.99999779
T	D	18:00	297.99999753
T	D	18:05	289.99999810
T	D	18:10	75.99999943
T	D	18:15	470.99999685
T	D	18:20	628.99999617
T	D	18:25	344.99999757
T	D	18:30	579.99999599
T	D	18:35	819.99999502
T	D	18:40	497.99999653
T	D	18:45	620.99999570
T	D	18:50	916.99999432
T	D	18:55	697.99999614
T	E	19:00	620.99999587
T	E	19:05	573.99999656
T	E	19:10	294.99999823
T	E	19:15	531.99999648
T	E	19:20	573.99999628
T	E	19:25	607.99999611
T	E	19:30	298.99999784
T	E	19:35	261.99999845
T	E	19:40	59.99999961
T	E	19:45	757.99999438
T	E	19:50	674.99999547
T	E	19:55	136.99999908
T	E	20:00	885.99999435
T	E	20:05	36.99999982
T	E	20:10	201.99999901
T	E	20:15	834.99999471
T	E	20:20	388.99999752
T	E	20:25	875.99999405
T	E	20:30	1312.99999152
T	E	20:35	2610.99998241
T	E	20:40	41.99999976
T	E	20:45	1525.99999066
T	E	20:50	1495.99999128
T	E	20:55	1731.99998965
T	E	21:00	800.99999488
T	E	21:05	1577.99999085
T	E	21:10	1067.99999430
T	E	21:15	1521.99999141
T	E	21:20	1463.99999181
T	E	21:25	1212.99999274
T	E	21:30	1004.99999445
T	E	21:35	1323.99999303
T	E	21:40	1065.99999150
T	E	21:45	276.99999815
T	E	21:50	640.99999456
T	E	21:55	314.99999793
T	E	22:00	680.99999463
T	E	22:05	315.99999783
T	E	22:10	304.99999767
T	E	22:15	316.99999786
T	E	22:20	189.99999822
T	E	22:25	222.99999839
T	E	22:30	41.99999965
T	E	22:35	159.99999848
T	E	22:40	142.99999908
T	E	22:45	92.99999944
T	N	00:15	429.99999743
T	N	00:45	1.00000000
T	N	01:00	2.99999998
T	N	01:15	1.99999999
T	N	02:10	43.99999973
T	N	02:15	1.99999999
T	N	02:35	30.99999975
T	N	03:00	34.99999971
T	N	03:10	30.99999975
T	N	03:15	26.99999980
T	N	03:20	26.99999980
T	N	03:30	20.99999985
T	N	03:45	1.99999999
T	N	04:00	73.99999941
T	N	04:20	0.99999999
T	N	04:30	27.99999977
T	N	04:35	7.99999994
T	N	04:40	5.99999995
T	N	04:50	8.99999993
T	N	05:00	325.99999762
T	N	05:05	213.99999834
T	N	05:10	139.99999898
T	N	05:15	148.99999895
T	N	05:20	51.99999965
T	N	05:25	52.99999962
T	N	05:30	192.99999858
T	N	05:35	140.99999900
T	N	05:40	118.99999920
T	N	05:45	192.99999880
T	N	05:50	63.99999955
T	N	05:55	115.99999922
T	N	06:00	629.99999588
T	N	06:05	307.99999789
T	N	06:10	291.99999805
T	N	06:15	252.99999827
T	N	06:20	204.99999872
T	N	06:25	272.99999831
T	N	06:30	369.99999769
T	N	06:35	522.99999639
T	N	06:40	264.99999733
T	N	06:45	783.99999174
T	N	23:00	50.99999974
T	N	23:05	64.99999956
T	N	23:10	255.99999822
T	N	23:15	7.99999994
T	N	23:30	27.99999980
T	N	23:45	145.99999906
T	N	23:55	16.99999989
