d_lt	d_runway	d_myear	d_den	d_period	total
L	06	2007	E		13233.33294400
L	06	2007	N		7372.99180000
L	06	2008	D		28036.67139400
L	06	2008	E		12070.10614600
L	06	2008	N		6643.86214000
L	06	2009	D		30023.47478800
L	06	2009	E		12134.22889800
L	06	2009	N		6928.77415000
L	06	2010	D		37384.56633400
L	06	2010	E		15523.71749200
L	06	2010	N		8780.19162000
L	09	1971	D		10.01918000
L	09	1971	E		16.03068800
L	09	1972	D		138.26468400
L	09	1973	D		253.48525400
L	09	1974	D		154.29537200
L	09	1977	D		68.13042400
L	09	1977	E		135.25893000
L	09	1977	N		16.33904000
L	09	1978	D		88.16878400
L	09	1978	E		112.21481600
L	09	1979	D		167.32030600
L	09	1979	N		15.31785000
L	09	1980	D		9.01726200
L	09	1981	D		66.12658800
L	09	1981	E		120.23016000
L	09	1981	N		42.88998000
L	09	1982	D		33.06329400
L	09	1984	D		227.43538600
L	09	1985	E		18.03452400
L	09	1986	D		30.05754000
L	09	1987	D		48.09206400
L	09	1988	D		85.16303000
L	09	1988	N		14.29666000
L	09	1989	D		104.19947200
L	09	1989	E		68.13042400
L	09	1989	N		14.29666000
L	09	1990	E		20.03836000
L	09	1991	D		30.05754000
L	09	1991	E		6.01150800
L	09	1992	D		304.58307200
L	09	1993	D		182.34907600
L	09	1993	E		69.13234200
L	09	1994	D		395.75761000
L	09	1994	E		273.52361400
L	09	1994	N		49.01712000
L	09	1995	D		93.17837400
L	09	1996	D		342.65595600
L	09	1996	E		55.10549000
L	09	1999	D		64.12275200
L	09	2000	D		104.19947200
L	09	2000	E		59.11316200
L	09	2000	N		13.27547000
L	09	2001	D		32.06137600
L	09	2002	D		174.33373200
L	09	2002	E		144.27619200
L	09	2002	N		15.31785000
L	09	2003	D		47.09014600
L	09	2004	D		77.14768600
L	09	2005	D		32.06137600
L	09	2006	D		253.48525400
L	09	2009	D		146.28002800
L	09	2009	N		17.36023000
L	09	2010	D		66.12658800
L	18C	1971	D		26884.46569400
L	18C	1971	E		6648.72784800
L	18C	1971	N		943.57956000
L	18C	1972	D		26979.64790400
L	18C	1972	E		7078.55067000
L	18C	1972	N		930.30409000
L	18C	1973	D		24406.72248000
L	18C	1973	E		5762.03041800
L	18C	1973	N		842.48175000
L	18C	1974	D		26155.06939000
L	18C	1974	E		6593.62235800
L	18C	1974	N		793.46463000
L	18C	1975	D		27116.91067000
L	18C	1975	E		6029.54252400
L	18C	1975	N		798.57058000
L	18C	1976	D		25122.09193200
L	18C	1976	E		6054.59047400
L	18C	1976	N		932.34647000
L	18C	1977	D		27517.67787000
L	18C	1977	E		7080.55450600
L	18C	1977	N		801.63415000
L	18C	1978	D		27898.40671000
L	18C	1978	E		7248.87673000
L	18C	1978	N		863.92674000
L	18C	1979	D		29393.26836600
L	18C	1979	E		7464.28910000
L	18C	1979	N		1010.97810000
L	18C	1980	D		26173.10391400
L	18C	1980	E		6214.89735400
L	18C	1980	N		803.67653000
L	18C	1981	D		27079.83970400
L	18C	1981	E		6407.26561000
L	18C	1981	N		850.65127000
L	18C	1982	D		29156.81571800
L	18C	1982	E		7568.48857200
L	18C	1982	N		841.46056000
L	18C	1983	D		26865.42925200
L	18C	1983	E		6640.71250400
L	18C	1983	N		840.43937000
L	18C	1984	D		25957.69154400
L	18C	1984	E		6565.56865400
L	18C	1984	N		730.15085000
L	18C	1985	D		29255.00368200
L	18C	1985	E		7718.77627200
L	18C	1985	N		858.82079000
L	18C	1986	D		26384.50861200
L	18C	1986	E		6000.48690200
L	18C	1986	N		969.10931000
L	18C	1987	D		28451.46544600
L	18C	1987	E		7044.48545800
L	18C	1987	N		917.02862000
L	18C	1988	D		27319.29810600
L	18C	1988	E		6604.64345600
L	18C	1988	N		880.26578000
L	18C	1989	D		26664.04373400
L	18C	1989	E		6623.67989800
L	18C	1989	N		962.98217000
L	18C	1990	D		26195.14611000
L	18C	1990	E		6457.36151000
L	18C	1990	N		815.93081000
L	18C	1991	D		27057.79750800
L	18C	1991	E		6731.88704200
L	18C	1991	N		957.87622000
L	18C	1992	D		27850.31464600
L	18C	1992	E		6885.18049600
L	18C	1992	N		854.73603000
L	18C	1993	D		26764.23553400
L	18C	1993	E		6037.55786800
L	18C	1993	N		974.21526000
L	18C	1994	D		26861.42158000
L	18C	1994	E		6498.44014800
L	18C	1994	N		930.30409000
L	18C	1995	D		22548.16459000
L	18C	1995	E		6042.56745800
L	18C	1995	N		661.73112000
L	18C	1996	D		25617.03942400
L	18C	1996	E		5827.15508800
L	18C	1996	N		871.07507000
L	18C	1997	D		26853.40623600
L	18C	1997	E		6424.29821600
L	18C	1997	N		823.07914000
L	18C	1998	D		29113.73324400
L	18C	1998	E		6972.34736200
L	18C	1998	N		990.55430000
L	18C	1999	D		26836.37363000
L	18C	1999	E		6944.29365800
L	18C	1999	N		766.91369000
L	18C	2000	D		29955.34436400
L	18C	2000	E		7494.34664000
L	18C	2000	N		955.83384000
L	18C	2001	D		25325.48128600
L	18C	2001	E		6420.29054400
L	18C	2001	N		706.66348000
L	18C	2002	D		27209.08712600
L	18C	2002	E		7111.61396400
L	18C	2002	N		956.85503000
L	18C	2003	D		26691.09552000
L	18C	2003	E		6106.69021000
L	18C	2003	N		911.92267000
L	18C	2004	D		26127.01568600
L	18C	2004	E		6245.95681200
L	18C	2004	N		956.85503000
L	18C	2005	D		26191.13843800
L	18C	2005	E		6071.62308000
L	18C	2005	N		720.96014000
L	18C	2006	D		28028.65605000
L	18C	2006	E		6841.09610400
L	18C	2006	N		943.57956000
L	18C	2007	D		23142.30196400
L	18C	2007	E		6341.13902200
L	18C	2007	N		673.98540000
L	18C	2008	D		27947.50069200
L	18C	2008	E		7187.75973200
L	18C	2008	N		913.96505000
L	18C	2009	D		28715.97179800
L	18C	2009	E		7370.10880800
L	18C	2009	N		998.72382000
L	18C	2010	D		24939.74285600
L	18C	2010	E		5497.52406600
L	18C	2010	N		816.95200000
L	18R	1971	D		59643.17662200
L	18R	1971	E		18166.77717600
L	18R	1971	N		9830.99613000
L	18R	1972	D		61188.13417800
L	18R	1972	E		19444.22262600
L	18R	1972	N		9981.11106000
L	18R	1973	D		56599.34973800
L	18R	1973	E		16781.12458200
L	18R	1973	N		9019.15008000
L	18R	1974	D		61557.84192000
L	18R	1974	E		19622.56403000
L	18R	1974	N		10427.37109000
L	18R	1975	D		58718.40630800
L	18R	1975	E		18054.56236000
L	18R	1975	N		9502.17295000
L	18R	1976	D		56186.55952200
