d_lt	d_den	d_schedule	total
L	N	00:40	13.00000000
L	N	00:45	11.00000000
L	N	00:50	2.00000000
L	N	00:55	30.00000000
L	N	01:00	18.00000000
L	N	01:05	2.00000000
L	N	01:10	3.00000000
L	N	01:15	30.00000000
L	N	01:20	4.00000000
L	N	01:25	5.00000000
L	N	01:30	76.00000000
L	N	01:35	16.00000000
L	N	01:40	19.00000000
L	N	01:45	3.00000000
L	N	01:50	15.00000000
L	N	02:00	12.00000000
L	N	02:05	25.00000000
L	N	02:20	2.00000000
L	N	02:30	5.00000000
L	N	02:40	1.00000000
L	N	02:50	9.00000000
L	N	03:00	24.00000000
L	N	03:10	1.00000000
L	N	03:15	43.00000000
L	N	03:30	1.00000000
L	N	04:15	1.00000000
L	N	04:30	153.00000000
L	N	04:40	241.00000000
L	N	04:45	17.00000000
L	N	04:55	22.00000000
L	N	05:05	110.00000000
L	N	05:15	65.00000000
L	N	05:20	156.00000000
L	N	05:30	99.00000000
L	N	05:35	90.00000000
L	N	05:40	136.00000000
L	N	05:45	153.00000000
L	N	05:50	153.00000000
L	N	05:55	543.00000000
L	N	06:00	306.00000000
L	N	06:15	308.00000000
L	N	06:25	153.00000000
L	N	06:30	372.00000000
L	N	06:45	153.00000000
L	N	06:50	194.00000000
L	N	06:55	1185.00000000
L	N	23:10	575.00000000
L	N	23:15	205.00000000
L	N	23:20	184.00000000
L	N	23:25	281.00000000
L	N	23:30	63.00000000
L	N	23:35	237.00000000
L	N	23:40	50.00000000
L	N	23:45	44.00000000
L	N	23:50	76.00000000
L	N	23:55	150.00000000
T	D	07:00	1762.00000000
T	D	07:05	666.00000000
T	D	07:10	121.00000000
T	D	07:15	603.00000000
T	D	07:20	723.00000000
T	D	07:25	201.00000000
T	D	07:30	294.00000000
T	D	07:35	421.00000000
T	D	07:40	176.00000000
T	D	07:45	440.00000000
T	D	07:50	399.00000000
T	D	07:55	167.00000000
T	D	08:00	823.00000000
T	D	08:05	367.00000000
T	D	08:10	230.00000000
T	D	08:15	309.00000000
T	D	08:20	444.00000000
T	D	08:25	141.00000000
T	D	08:30	345.00000000
T	D	08:35	427.00000000
T	D	08:40	138.00000000
T	D	08:45	493.00000000
T	D	08:50	225.00000000
T	D	08:55	452.00000000
T	D	09:00	136.00000000
T	D	09:05	62.00000000
T	D	09:10	520.00000000
T	D	09:15	596.00000000
T	D	09:20	153.00000000
T	D	09:25	497.00000000
T	D	09:30	2119.00000000
T	D	09:35	986.00000000
T	D	09:40	926.00000000
T	D	09:45	518.00000000
T	D	09:50	1536.00000000
T	D	09:55	658.00000000
T	D	10:00	728.00000000
T	D	10:05	1462.00000000
T	D	10:10	285.00000000
T	D	10:15	1208.00000000
T	D	10:20	1587.00000000
T	D	10:25	763.00000000
T	D	10:30	456.00000000
T	D	10:35	393.00000000
T	D	10:40	744.00000000
T	D	10:45	125.00000000
T	D	10:50	432.00000000
T	D	10:55	528.00000000
T	D	11:00	905.00000000
T	D	11:05	108.00000000
T	D	11:10	282.00000000
T	D	11:15	62.00000000
T	D	11:20	811.00000000
T	D	11:25	132.00000000
T	D	11:30	497.00000000
T	D	11:35	314.00000000
T	D	11:40	609.00000000
T	D	11:45	563.00000000
T	D	11:50	560.00000000
T	D	11:55	219.00000000
T	D	12:00	652.00000000
T	D	12:05	140.00000000
T	D	12:10	1422.00000000
T	D	12:15	882.00000000
T	D	12:20	281.00000000
T	D	12:25	786.00000000
T	D	12:30	444.00000000
T	D	12:35	1740.00000000
T	D	12:40	531.00000000
T	D	12:45	711.00000000
T	D	12:50	417.00000000
T	D	12:55	411.00000000
T	D	13:00	745.00000000
T	D	13:05	265.00000000
T	D	13:10	334.00000000
T	D	13:15	450.00000000
T	D	13:20	614.00000000
T	D	13:25	309.00000000
T	D	13:30	622.00000000
T	D	13:35	243.00000000
T	D	13:40	506.00000000
T	D	13:45	45.00000000
T	D	13:50	646.00000000
T	D	13:55	210.00000000
T	D	14:00	382.00000000
T	D	14:05	360.00000000
T	D	14:10	521.00000000
T	D	14:15	727.00000000
T	D	14:20	282.00000000
T	D	14:25	1220.00000000
T	D	14:30	932.00000000
T	D	14:35	572.00000000
T	D	14:40	1017.00000000
T	D	14:45	239.00000000
T	D	14:50	513.00000000
T	D	14:55	643.00000000
T	D	15:00	278.00000000
T	D	15:05	209.00000000
T	D	15:10	271.00000000
T	D	15:15	493.00000000
T	D	15:20	565.00000000
T	D	15:25	577.00000000
T	D	15:30	267.00000000
T	D	15:35	185.00000000
T	D	15:40	255.00000000
T	D	15:45	458.00000000
T	D	15:50	180.00000000
T	D	15:55	336.00000000
T	D	16:00	303.00000000
T	D	16:05	394.00000000
T	D	16:10	188.00000000
T	D	16:15	329.00000000
T	D	16:20	318.00000000
T	D	16:25	492.00000000
T	D	16:30	665.00000000
T	D	16:35	572.00000000
T	D	16:40	1240.00000000
T	D	16:45	1040.00000000
T	D	16:50	659.00000000
T	D	16:55	655.00000000
T	D	17:00	982.00000000
T	D	17:05	553.00000000
T	D	17:10	513.00000000
T	D	17:15	568.00000000
T	D	17:20	367.00000000
T	D	17:25	96.00000000
T	D	17:30	543.00000000
T	D	17:35	510.00000000
T	D	17:40	608.00000000
T	D	17:45	428.00000000
T	D	17:50	588.00000000
T	D	17:55	429.00000000
T	D	18:00	258.00000000
T	D	18:05	12.00000000
T	D	18:10	47.00000000
T	D	18:15	297.00000000
T	D	18:20	409.00000000
T	D	18:25	144.00000000
T	D	18:30	272.00000000
T	D	18:35	327.00000000
T	D	18:40	168.00000000
T	D	18:45	387.00000000
T	D	18:50	223.00000000
T	D	18:55	769.00000000
T	E	19:00	326.00000000
T	E	19:05	413.00000000
T	E	19:10	77.00000000
T	E	19:15	372.00000000
T	E	19:20	294.00000000
T	E	19:25	271.00000000
T	E	19:30	123.00000000
T	E	19:35	271.00000000
T	E	19:40	199.00000000
T	E	19:45	177.00000000
T	E	19:50	345.00000000
T	E	19:55	108.00000000
T	E	20:00	452.00000000
T	E	20:05	367.00000000
T	E	20:10	22.00000000
T	E	20:15	359.00000000
T	E	20:20	122.00000000
T	E	20:25	417.00000000
T	E	20:30	483.00000000
T	E	20:35	2413.00000000
T	E	20:40	674.00000000
T	E	20:45	458.00000000
T	E	20:50	767.00000000
T	E	20:55	1563.00000000
T	E	21:00	1433.00000000
T	E	21:05	886.00000000
T	E	21:10	868.00000000
T	E	21:15	386.00000000
T	E	21:20	1360.00000000
T	E	21:25	540.00000000
T	E	21:30	554.00000000
T	E	21:35	713.00000000
T	E	21:40	271.00000000
T	E	21:45	921.00000000
T	E	21:55	197.00000000
T	E	22:00	244.00000000
T	E	22:05	21.00000000
T	E	22:20	22.00000000
T	E	22:25	154.00000000
T	E	22:35	1.00000000
T	N	00:30	22.00000000
T	N	00:55	22.00000000
T	N	01:30	1.00000000
