d_lt	d_den	d_schedule	total
L	N	00:35	44.00000000
L	N	00:40	101.00000000
L	N	00:45	21.00000000
L	N	00:50	48.00000000
L	N	00:55	110.00000000
L	N	01:00	132.00000000
L	N	01:05	130.00000000
L	N	01:10	114.00000000
L	N	01:15	80.00000000
L	N	01:20	130.00000000
L	N	01:25	72.00000000
L	N	01:30	95.00000000
L	N	01:35	110.00000000
L	N	01:40	49.00000000
L	N	01:45	69.00000000
L	N	01:50	103.00000000
L	N	01:55	30.00000000
L	N	02:00	21.00000000
L	N	02:05	40.00000000
L	N	02:10	24.00000000
L	N	02:15	26.00000000
L	N	02:20	53.00000000
L	N	02:25	52.00000000
L	N	02:30	55.00000000
L	N	02:35	96.00000000
L	N	02:40	56.00000000
L	N	02:45	17.00000000
L	N	02:50	31.00000000
L	N	02:55	2.00000000
L	N	03:00	41.00000000
L	N	03:05	10.00000000
L	N	03:10	91.00000000
L	N	03:15	33.00000000
L	N	03:20	42.00000000
L	N	03:25	19.00000000
L	N	03:30	73.00000000
L	N	03:35	16.00000000
L	N	03:40	9.00000000
L	N	03:45	5.00000000
L	N	03:50	18.00000000
L	N	03:55	9.00000000
L	N	04:00	2.00000000
L	N	04:05	17.00000000
L	N	04:10	15.00000000
L	N	04:25	30.00000000
L	N	04:30	157.00000000
L	N	04:35	4.00000000
L	N	04:45	1.00000000
L	N	04:50	16.00000000
L	N	05:00	131.00000000
L	N	05:05	211.00000000
L	N	05:10	418.00000000
L	N	05:15	4.00000000
L	N	05:25	8.00000000
L	N	05:30	132.00000000
L	N	05:35	210.00000000
L	N	05:50	417.00000000
L	N	05:55	209.00000000
L	N	06:00	1036.00000000
L	N	06:10	210.00000000
L	N	06:15	95.00000000
L	N	06:20	1.00000000
L	N	06:25	98.00000000
L	N	06:30	69.00000000
L	N	06:35	211.00000000
L	N	06:40	210.00000000
L	N	06:45	232.00000000
L	N	06:50	1318.00000000
L	N	06:55	2042.00000000
L	N	23:10	743.00000000
L	N	23:15	81.00000000
L	N	23:20	76.00000000
L	N	23:25	38.00000000
L	N	23:30	98.00000000
L	N	23:35	51.00000000
L	N	23:40	50.00000000
L	N	23:45	143.00000000
L	N	23:50	295.00000000
L	N	23:55	133.00000000
T	D	07:00	2850.00000000
T	D	07:05	904.00000000
T	D	07:10	483.00000000
T	D	07:15	757.00000000
T	D	07:20	1559.00000000
T	D	07:25	296.00000000
T	D	07:30	317.00000000
T	D	07:35	504.00000000
T	D	07:40	181.00000000
T	D	07:45	259.00000000
T	D	07:50	812.00000000
T	D	07:55	363.00000000
T	D	08:00	1115.00000000
T	D	08:05	39.00000000
T	D	08:10	256.00000000
T	D	08:15	871.00000000
T	D	08:20	15.00000000
T	D	08:25	1058.00000000
T	D	08:30	886.00000000
T	D	08:35	543.00000000
T	D	08:40	425.00000000
T	D	08:45	1328.00000000
T	D	08:50	180.00000000
T	D	08:55	387.00000000
T	D	09:00	1057.00000000
T	D	09:05	230.00000000
T	D	09:10	470.00000000
T	D	09:15	760.00000000
T	D	09:20	1027.00000000
T	D	09:25	1140.00000000
T	D	09:30	1985.00000000
T	D	09:35	961.00000000
T	D	09:40	1878.00000000
T	D	09:45	1501.00000000
T	D	09:50	1431.00000000
T	D	09:55	227.00000000
T	D	10:00	2102.00000000
T	D	10:05	332.00000000
T	D	10:10	735.00000000
T	D	10:15	1308.00000000
T	D	10:20	1708.00000000
T	D	10:25	896.00000000
T	D	10:30	499.00000000
T	D	10:35	1145.00000000
T	D	10:40	225.00000000
T	D	10:45	959.00000000
T	D	10:50	640.00000000
T	D	10:55	398.00000000
T	D	11:00	940.00000000
T	D	11:05	295.00000000
T	D	11:10	546.00000000
T	D	11:15	578.00000000
T	D	11:20	1329.00000000
T	D	11:25	301.00000000
T	D	11:30	107.00000000
T	D	11:35	646.00000000
T	D	11:40	721.00000000
T	D	11:45	1061.00000000
T	D	11:50	995.00000000
T	D	11:55	954.00000000
T	D	12:00	1057.00000000
T	D	12:05	709.00000000
T	D	12:10	1108.00000000
T	D	12:15	2340.00000000
T	D	12:20	550.00000000
T	D	12:25	1140.00000000
T	D	12:30	1531.00000000
T	D	12:35	1715.00000000
T	D	12:40	772.00000000
T	D	12:45	559.00000000
T	D	12:50	728.00000000
T	D	12:55	720.00000000
T	D	13:00	1127.00000000
T	D	13:05	110.00000000
T	D	13:10	623.00000000
T	D	13:15	697.00000000
T	D	13:20	1358.00000000
T	D	13:25	405.00000000
T	D	13:30	336.00000000
T	D	13:35	425.00000000
T	D	13:40	748.00000000
T	D	13:45	685.00000000
T	D	13:50	907.00000000
T	D	13:55	92.00000000
T	D	14:00	1461.00000000
T	D	14:05	564.00000000
T	D	14:10	307.00000000
T	D	14:15	896.00000000
T	D	14:20	1527.00000000
T	D	14:25	1600.00000000
T	D	14:30	1153.00000000
T	D	14:35	622.00000000
T	D	14:40	1535.00000000
T	D	14:45	1431.00000000
T	D	14:50	687.00000000
T	D	14:55	868.00000000
T	D	15:00	745.00000000
T	D	15:05	487.00000000
T	D	15:10	383.00000000
T	D	15:15	704.00000000
T	D	15:20	804.00000000
T	D	15:25	452.00000000
T	D	15:30	143.00000000
T	D	15:35	552.00000000
T	D	15:40	527.00000000
T	D	15:45	200.00000000
T	D	15:50	522.00000000
T	D	15:55	398.00000000
T	D	16:00	417.00000000
T	D	16:05	848.00000000
T	D	16:10	367.00000000
T	D	16:15	617.00000000
T	D	16:20	1711.00000000
T	D	16:25	679.00000000
T	D	16:30	1174.00000000
T	D	16:35	764.00000000
T	D	16:40	1513.00000000
T	D	16:45	1063.00000000
T	D	16:50	1153.00000000
T	D	16:55	1037.00000000
T	D	17:00	1751.00000000
T	D	17:05	389.00000000
T	D	17:10	578.00000000
T	D	17:15	1192.00000000
T	D	17:20	726.00000000
T	D	17:25	386.00000000
T	D	17:30	670.00000000
T	D	17:35	458.00000000
T	D	17:40	398.00000000
T	D	17:45	677.00000000
T	D	17:50	560.00000000
T	D	17:55	275.00000000
T	D	18:00	520.00000000
T	D	18:05	316.00000000
T	D	18:10	183.00000000
T	D	18:15	392.00000000
T	D	18:20	559.00000000
T	D	18:25	90.00000000
T	D	18:30	727.00000000
T	D	18:35	839.00000000
T	D	18:40	557.00000000
T	D	18:45	872.00000000
T	D	18:50	560.00000000
T	D	18:55	663.00000000
T	E	19:00	522.00000000
T	E	19:05	483.00000000
T	E	19:10	281.00000000
T	E	19:15	514.00000000
T	E	19:20	620.00000000
T	E	19:25	520.00000000
T	E	19:30	287.00000000
T	E	19:35	548.00000000
T	E	19:40	293.00000000
T	E	19:45	960.00000000
T	E	19:50	426.00000000
T	E	19:55	215.00000000
T	E	20:00	537.00000000
T	E	20:05	100.00000000
T	E	20:10	190.00000000
T	E	20:15	697.00000000
T	E	20:20	429.00000000
T	E	20:25	846.00000000
T	E	20:30	1057.00000000
T	E	20:35	2523.00000000
T	E	20:40	315.00000000
T	E	20:45	1104.00000000
T	E	20:50	1561.00000000
T	E	20:55	1699.00000000
T	E	21:00	988.00000000
T	E	21:05	1401.00000000
T	E	21:10	1140.00000000
T	E	21:15	1398.00000000
T	E	21:20	1209.00000000
T	E	21:25	1301.00000000
T	E	21:30	931.00000000
T	E	21:35	1121.00000000
T	E	21:40	868.00000000
T	E	21:45	765.00000000
T	E	21:50	464.00000000
T	E	21:55	267.00000000
T	E	22:00	593.00000000
T	E	22:05	228.00000000
T	E	22:10	270.00000000
T	E	22:15	169.00000000
T	E	22:20	39.00000000
T	E	22:25	193.00000000
T	E	22:30	30.00000000
T	E	22:35	121.00000000
T	E	22:40	16.00000000
T	E	22:45	1.00000000
T	N	00:00	30.00000000
T	N	00:10	60.00000000
T	N	00:15	209.00000000
T	N	00:45	2.00000000
T	N	01:00	8.00000000
T	N	01:15	9.00000000
T	N	01:30	9.00000000
T	N	02:35	60.00000000
T	N	03:00	22.00000000
T	N	03:10	39.00000000
T	N	03:15	18.00000000
T	N	03:20	157.00000000
T	N	03:25	29.00000000
T	N	03:30	8.00000000
T	N	03:45	9.00000000
T	N	03:50	8.00000000
T	N	04:00	40.00000000
T	N	04:10	6.00000000
T	N	04:20	37.00000000
T	N	04:30	38.00000000
T	N	04:35	8.00000000
T	N	04:40	33.00000000
T	N	04:45	8.00000000
T	N	04:50	21.00000000
T	N	04:55	26.00000000
T	N	05:00	286.00000000
T	N	05:05	188.00000000
T	N	05:10	116.00000000
T	N	05:15	102.00000000
T	N	05:20	78.00000000
T	N	05:25	54.00000000
T	N	05:30	166.00000000
T	N	05:35	111.00000000
T	N	05:40	88.00000000
T	N	05:45	152.00000000
T	N	05:50	59.00000000
T	N	05:55	121.00000000
T	N	06:00	669.00000000
T	N	06:05	299.00000000
T	N	06:10	275.00000000
T	N	06:15	216.00000000
T	N	06:20	200.00000000
T	N	06:25	303.00000000
T	N	06:30	398.00000000
T	N	06:35	327.00000000
T	N	06:40	1643.00000000
T	N	06:45	456.00000000
T	N	23:00	137.00000000
T	N	23:05	99.00000000
T	N	23:10	180.00000000
T	N	23:15	145.00000000
T	N	23:30	8.00000000
T	N	23:55	1.00000000
