icao_aircraft,iata_aircraft,icao_airline,iata_airline,ac_cat,wtc,safety_cat,mtow,motor,comment
C17,,,,,,3,0,,
C172,,,,004,,4,1,,
C175,,,,004,,4,1,,
C177,,,,004,,4,1,,
C182,,,,004,,4,1,,
C206,,,,004,,4,2,,
C207,,,,004,,4,0,,
C208,,,,004,,4,4,,
C210,,,,004,,4,2,,
C212,,,,1/4,,2,0,,
C25A,,,,004,,4,6,,
C25B,,,,1/4,,3,6,,
C25C,,,,1/4,,4,8,,
C27J,,,,,,0,31,,
C295,,,,2/3,,3,21,,
C303,,,,004,,4,2,,
C30J,,,,4/2,,3,79,,
C310,,,,004,,4,3,,
C320,,,,004,,4,0,,
C335,,,,004,,4,0,,
C336,,,,004,,4,0,,
C337,,,,004,,4,0,,
C340,,,,004,,4,3,,
C402,,,,004,,4,3,,
C404,,,,004,,4,0,,
C411,,,,004,,4,0,,
C414,,,,004,,4,0,,
C421,,,,004,,4,3,,
C425,,,,004,,4,4,,
C441,,,,004,,4,0,,
C5,,,,8/1,,2,0,,
C500,,,,004,,2,5,,
C501,,,,004,,2,5,,
C510,,,,004,,4,4,,
C525,,,,004,,3,0,,
C526,,,,,,0,0,,
C550,,,,1/4,,2,7,,
C551,,,,004,,2,6,,
C560,,,,1/3,,3,8,,
C56X,,,,1/4,,3,9,,
C650,,,,1/3,,3,10,,
C680,,,,1/4,,3,14,,
C68A,,,,1/4,,3,14,,
C72R,,,,004,,0,0,,
C750,,,,2/4,,3,17,,
C77R,,,,004,,0,0,,
CAT,,,,1/1,,1,0,,
CL2T,,,,2/3,,1,0,,
CL30,,,,2/4,,3,18,,
CL35,,,,2/4,,3,18,,
CL60,,,,2/4,,3,22,,
CN35,,,,1/4,,2,0,,
COL4,,,,004,,4,2,,
CONC,,,,,,0,0,,
CONI,,,,3/1,,1,0,,
CRJ1,CRJ,,,2/4,,3,22,,
CRJ2,CR2,,,2/4,,3,24,,
CRJ7,CR7,,,2/3,,3,34,,
CRJ9,CR9,,,2/3,,3,40,,
CRJ9,CRA,,,2/3,,3,40,,
CRJX,,,,3/3,,3,42,,
CVLT,,,,,,0,0,,
D228,,,,1/3,,2,7,,
D28D,,,,004,,4,0,,
D328,D38,,,1/3,,3,13,,
DA40,,,,004,,4,1,,
DA42,,,,004,,4,2,,
DC10,,,,7/2,,2,268,,
DC2,,,,1/1,,1,0,,
DC3,,,,1/1,,1,11,,
DC4,,,,2/1,,1,0,,
DC6,,,,3/1,,1,0,,
DC85,,,,5/1,,1,0,,
DC86,,,,5/1,,1,0,,
DC87,,,,6/3,,1,159,,
DC91,,,,3/2,,2,0,,
DC92,,,,3/2,,2,0,,
DC93,,,,3/2,,2,0,,
DC94,,,,3/2,,2,0,,
DC95,,,,3/2,,2,0,,
DH82,,,,004,,4,0,,
DH8A,,,,2/3,,3,16,,
DH8B,,,,2/3,,3,0,,
DH8C,,,,2/3,,3,20,,
DH8D,DH4,,,2/3,,3,30,,
DHC1,,,,004,,4,0,,
DHC6,,,,004,,4,6,,
DHC7,,,,2/4,,2,0,,
DO28,,,,004,,4,0,,
DR40,,,,004,,4,1,,
DV20,,,,004,,4,0,,
E110,,,,1/3,,2,6,,
E120,EM2,,,1/3,,2,12,,
E121,,,,004,,2,7,,
E135,ER3,,,2/4,,3,24,,
E145,ER4,,,2/4,,3,24,,
E170,E70,,,2/3,,2,39,,
E170,E75,,,2/3,,2,39,,
E190,E95,,,3/3,,3,52,,
E190,E90,,,3/3,,3,52,,
E300,,,,004,,4,0,,
E50P,,,,004,,4,5,,
E55P,,,,1/4,,3,9,,
EA50,,,,004,,4,0,,
EA51,,,,004,,4,3,,
EC20,,,,010,,0,2,,
EC25,,,,014,,3,11,,
EC30,,,,010,,0,3,,
EC35,,,,010,,4,3,,
EC55,,,,012,,0,5,,
EH10,,,,014,,0,15,,
EN48,,,,010,,4,2,,
EXPL,,,,010,,0,0,,
F100,100,,,3/3,,3,46,,
F27,,,,2/2,,1,21,,
F28,,,,2/1,,2,0,,
F2TH,,,,2/4,,3,19,,
F406,,,,004,,4,4,,
F50,F50,,,2/4,,3,21,,
F60,,,,2/4,,3,0,,
F70,F70,,,2/4,,3,42,,
F8L,,,,004,,4,1,,
F900,,,,2/3,,3,22,,
FA10,,,,1/3,,1,9,,
FA20,,,,1/3,,1,15,,
FA50,,,,2/2,,1,18,,
FA7X,,,,2/3,,3,31,,
FOUG,,,,004,,4,0,,
G150,,,,1/3,,3,12,,
G159,,,,2/1,,1,0,,
G21,,,,,,0,0,,
G222,,,,2/1,,1,0,,
G550,,,,3/4,,3,41,,
GA7,,,,004,,4,2,,
GA8,,,,004,,4,0,,
GALX,,,,2/2,,3,16,,
GAZL,,,,010,,0,0,,
GL5T,,,,3/4,,3,42,,
GLEX,,,,3/4,,3,45,,
GLF2,,,,2/1,,1,30,,
GLF3,,,,2/1,,2,32,,
GLF4,,,,2/4,,3,34,,
GLF5,,,,3/4,,3,41,,
GLF6,,,,3/4,,3,45,,
H25,,,,1/2,,3,13,,
H25A,,,,1/1,,1,11,,
H25B,,,,1/2,,3,13,,
H25C,,,,1/2,,3,14,,
H269,,,,010,,0,1,,
H47,,,,014,,0,23,,
H500,,,,010,,0,0,,
H53,,,,014,,0,0,,
H53S,,,,014,,0,0,,
H60,,,,014,,0,0,,
H750,,,,1/2,,3,13,,
HA4T,,,,2/2,,3,18,,
HPR7,,,,,,0,0,,
HRZN,,,,,,0,0,,
IL18,,,,4/1,,1,0,,
IL62,,,,6/1,,1,165,,
IL76,,,,6/1,,2,210,,
IL86,,,,6/1,,2,0,,
IL96,,,,7/2,,3,240,,
J328,,,,2/4,,3,16,,
JS31,,,,1/3,,2,0,,
JS32,,,,1/3,,2,0,,
JS41,,,,1/4,,3,11,,
JU52,,,,1/1,,1,11,,
JUNR,,,,004,,4,0,,
L101,,,,7/2,,2,234,,
L188,,,,3/4,,1,0,,
L29,,,,004,,4,0,,
L29A,,,,2/2,,1,0,,
